City,Country,Lat,Lng,Hotel Name,Hotel_Lat,Hotel_Lng
Saldanha,ZA,-33.01,17.94,Saldanha,-33.02769810000001,17.9176312
Lebu,CL,-37.62,-73.65,Lebu,-37.6097143,-73.6483294
Puerto Quijarro,BO,-17.78,-57.77,Puerto Quijarro,-17.80257,-57.77616099999999
Tiznit Province,MA,29.58,-9.5,Ouijjane,29.6242257,-9.5395357
Santiago del Estero,AR,-27.8,-64.26,Santiago del Estero,-27.7833574,-64.264167
Port Shepstone,ZA,-30.74,30.45,Port Shepstone,-30.7276956,30.447285
Coahuayana Viejo,MX,18.73,-103.68,Coahuayana de Hidalgo,18.6927601,-103.663145
Las Juntas,MX,19.42,-104.7,Las Juntas,19.4302777,-104.7055555
Luan,CH,46.36,6.98,Aigle,46.3190253,6.970566
Palmares do Sul,BR,-30.26,-50.51,Palmares do Sul,-30.2596595,-50.5110784
