City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
43,Saldanha,0,ZA,1589963999,63,-33.01,17.94,289.15,1.0
135,Lebu,0,CL,1589964107,85,-37.62,-73.65,282.9,1.49
173,Puerto Quijarro,0,BO,1589964156,90,-17.78,-57.77,294.77,1.12
216,Tiznit Province,0,MA,1589964208,29,29.58,-9.5,298.45,0.49
312,Santiago del Estero,0,AR,1589964333,83,-27.8,-64.26,290.83,1.49
358,Port Shepstone,0,ZA,1589964386,57,-30.74,30.45,294.82,1.16
361,Coahuayana Viejo,0,MX,1589964310,62,18.73,-103.68,294.98,1.19
441,Las Juntas,0,MX,1589964310,84,19.42,-104.7,292.76,0.8
445,Luan,0,CH,1589964493,60,46.36,6.98,291.48,0.45
480,Palmares do Sul,0,BR,1589964533,81,-30.26,-50.51,288.52,1.42
