City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kristiansund,0,NO,1589963947,62,63.11,7.73,280.15,4.1
1,Punta Arenas,94,CL,1589963948,92,-53.15,-70.92,272.15,1.5
2,Saint-Pierre,20,RE,1589963950,61,-21.34,55.48,298.15,10.3
3,Jamestown,1,US,1589963732,50,42.1,-79.24,285.37,2.1
4,Mount Isa,98,AU,1589963952,41,-20.73,139.5,299.15,6.7
5,Ushuaia,55,AR,1589963668,74,-54.8,-68.3,274.15,1.5
6,Hobart,75,AU,1589963954,62,-42.88,147.33,285.37,4.1
7,Cape Town,95,ZA,1589963396,59,-33.93,18.42,295.37,1.5
8,Tuktoyaktuk,2,CA,1589963956,94,69.45,-133.04,265.29,1.77
9,Beringovskiy,99,RU,1589963957,96,63.05,179.32,271.92,6.09
10,Palmer,1,US,1589963546,93,42.16,-72.33,279.26,1.94
11,Thompson,90,CA,1589963960,80,55.74,-97.86,277.15,6.7
12,Aykhal,100,RU,1589963961,30,66.0,111.5,287.15,4.0
13,Provideniya,0,RU,1589963962,89,64.38,-173.3,273.7,3.0
14,Olafsvik,100,IS,1589963382,63,64.89,-23.71,279.61,5.46
15,Ternate,59,ID,1589963964,78,0.8,127.4,301.43,1.24
16,Butaritari,0,KI,1589963966,76,3.07,172.79,301.92,6.89
17,Clyde River,1,CA,1589963968,78,70.47,-68.59,261.15,1.0
18,Puli,75,TW,1589963970,74,23.97,120.97,302.59,1.5
19,Hithadhoo,61,MV,1589963971,75,-0.6,73.08,302.56,5.52
20,Smithers,90,CA,1589963973,93,54.78,-127.17,282.15,2.1
21,Kapaa,75,US,1589963975,83,22.08,-159.32,297.15,8.2
22,Khatanga,99,RU,1589963976,74,71.97,102.5,282.44,5.1
23,Tuatapere,13,NZ,1589963977,82,-46.13,167.68,279.54,2.88
24,Necochea,100,AR,1589963978,87,-38.55,-58.74,285.93,2.24
25,Saskylakh,100,RU,1589963979,97,71.92,114.08,275.3,3.13
26,Harper,17,LR,1589963981,74,4.38,-7.72,302.03,3.61
27,Kuril'sk,1,RU,1589963982,86,45.23,147.88,275.72,2.91
28,Rikitea,92,PF,1589963983,83,-23.12,-134.97,298.28,7.1
29,Huambo,65,AO,1589963984,67,-12.78,15.74,289.15,1.5
30,Hilo,90,US,1589963943,88,19.73,-155.09,296.15,1.5
31,Avarua,75,CK,1589963986,69,-21.21,-159.78,297.15,3.6
