City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kristiansund,0,NO,1589963947,62,63.11,7.73,280.15,4.1
Jamestown,1,US,1589963732,50,42.1,-79.24,285.37,2.1
Tuktoyaktuk,2,CA,1589963956,94,69.45,-133.04,265.29,1.77
Beringovskiy,99,RU,1589963957,96,63.05,179.32,271.92,6.09
Palmer,1,US,1589963546,93,42.16,-72.33,279.26,1.94
Thompson,90,CA,1589963960,80,55.74,-97.86,277.15,6.7
Aykhal,100,RU,1589963961,30,66.0,111.5,287.15,4.0
Provideniya,0,RU,1589963962,89,64.38,-173.3,273.7,3.0
Olafsvik,100,IS,1589963382,63,64.89,-23.71,279.61,5.46
Ternate,59,ID,1589963964,78,0.8,127.4,301.43,1.24
Butaritari,0,KI,1589963966,76,3.07,172.79,301.92,6.89
Clyde River,1,CA,1589963968,78,70.47,-68.59,261.15,1.0
Puli,75,TW,1589963970,74,23.97,120.97,302.59,1.5
Smithers,90,CA,1589963973,93,54.78,-127.17,282.15,2.1
Kapaa,75,US,1589963975,83,22.08,-159.32,297.15,8.2
Khatanga,99,RU,1589963976,74,71.97,102.5,282.44,5.1
Saskylakh,100,RU,1589963979,97,71.92,114.08,275.3,3.13
Harper,17,LR,1589963981,74,4.38,-7.72,302.03,3.61
Kuril'sk,1,RU,1589963982,86,45.23,147.88,275.72,2.91
Hilo,90,US,1589963943,88,19.73,-155.09,296.15,1.5
George Town,40,MY,1589963988,70,5.41,100.34,306.15,4.1
Ocós,0,GT,1589963990,75,14.51,-92.19,300.75,2.55
Fukuechō,75,JP,1589963992,68,32.69,128.84,291.15,4.1
New Iberia,40,US,1589963897,100,30.0,-91.82,297.15,2.1
Verkhozim,28,RU,1589963995,99,52.71,45.42,286.48,3.84
Otradnoye,75,RU,1589963996,61,59.78,30.82,283.71,5.0
Rudnichnyy,100,RU,1589964001,36,59.62,52.47,292.83,0.41
Nemuro,75,JP,1589964003,80,43.32,145.57,277.15,4.6
Tarakan,49,ID,1589964004,68,3.3,117.63,302.68,2.88
Yellowknife,20,CA,1589963799,74,62.46,-114.35,272.15,4.1
Paamiut,4,GL,1589964008,78,61.99,-49.67,275.88,4.99
Albany,100,US,1589963358,56,42.6,-73.97,282.59,0.31
Katsuura,75,JP,1589964015,82,35.13,140.3,288.71,7.2
Petropavlovsk-Kamchatskiy,94,RU,1589964016,77,53.05,158.65,285.15,3.0
Bandarbeyla,60,SO,1589964017,45,9.49,50.81,307.12,6.65
Sartell,90,US,1589964020,72,45.62,-94.21,290.15,3.6
Redmond,79,US,1589964001,86,47.67,-122.12,285.37,1.42
Kenai,1,US,1589963819,81,60.55,-151.26,282.15,6.7
Yar-Sale,23,RU,1589964026,45,66.83,70.83,296.41,9.48
Talnakh,54,RU,1589964028,59,69.49,88.4,290.15,7.0
Miepherkeim,20,TR,1589964029,21,38.14,41.01,302.15,0.5
Fort Nelson,83,CA,1589964030,77,58.81,-122.7,277.81,4.47
Tasiilaq,17,GL,1589964032,92,65.61,-37.64,271.15,1.0
Qasigiannguit,10,GL,1589964033,100,68.82,-51.19,271.15,1.0
Faya,20,SA,1589964034,33,18.39,42.45,298.15,4.6
Pevek,63,RU,1589964035,97,69.7,170.31,269.5,1.59
Skjervøy,75,NO,1589964036,69,70.03,20.97,277.15,1.5
Sinnamary,15,GF,1589964038,88,5.38,-52.95,298.41,3.09
Dikson,100,RU,1589964040,99,73.51,80.55,275.48,5.04
Salalah,1,OM,1589964042,63,17.02,54.09,306.15,6.7
Naze,75,JP,1589964044,64,28.37,129.48,297.15,4.1
Cherskiy,0,RU,1589964045,53,68.75,161.3,281.14,3.55
Praia da Vitória,40,PT,1589964048,87,38.73,-27.07,289.15,4.72
Qaanaaq,95,GL,1589964050,88,77.48,-69.36,273.31,4.04
San Andrés,75,CO,1589963932,83,12.58,-81.7,302.15,2.6
Nouadhibou,40,MR,1589964054,77,20.93,-17.03,293.15,8.2
Portland,90,US,1589963871,71,45.52,-122.68,285.37,2.6
Sassandra,86,CI,1589964057,87,4.95,-6.08,300.1,2.31
Takoradze,49,GH,1589964058,76,4.88,-1.76,302.3,4.45
Porbandar,0,IN,1589963996,53,21.64,69.61,308.15,4.1
Half Moon Bay,90,US,1589963847,71,37.46,-122.43,287.59,6.2
Norman Wells,40,CA,1589964061,95,65.28,-126.83,273.15,3.1
Kotapārh,96,IN,1589964063,8,19.15,82.35,312.74,8.01
Nizhniy Kuranakh,100,RU,1589964064,35,58.84,125.49,289.14,2.98
Laas,40,IT,1589964068,66,46.62,10.7,285.15,6.2
Kavaratti,54,IN,1589964069,74,10.57,72.64,302.96,5.7
Severo-Kuril'sk,25,RU,1589964070,85,50.68,156.12,276.24,5.64
Kurkino,90,RU,1589964071,68,53.43,38.66,283.42,1.89
Tiksi,0,RU,1589964074,88,71.69,128.87,274.6,3.22
San Patricio,0,MX,1589964076,83,19.22,-104.7,294.77,1.6
Bilibino,2,RU,1589964077,94,68.05,166.44,270.35,2.59
Nome,1,US,1589964078,53,64.5,-165.41,282.15,5.1
Natá,100,PA,1589964085,82,8.33,-80.52,294.26,0.18
Cedar City,1,US,1589964087,55,37.68,-113.06,277.15,2.6
Barrow,90,US,1589963670,92,71.29,-156.79,267.15,5.7
Northam,21,GB,1589964091,94,51.03,-4.22,288.15,1.34
Arman',26,RU,1589964092,49,59.7,150.17,283.13,3.24
Thinadhoo,95,MV,1589964095,77,0.53,72.93,302.2,5.73
Quryq,14,KZ,1589964065,52,43.2,51.65,292.38,6.31
Ponta do Sol,20,PT,1589964100,63,32.67,-17.1,292.15,5.1
Avera,90,US,1589964103,84,33.19,-82.53,291.15,3.1
Lagoa,100,PT,1589964104,75,39.05,-27.98,289.35,3.33
Hong Kong,40,HK,1589963900,79,22.29,114.16,303.71,9.8
Sandwick,90,GB,1589964106,100,60.0,-1.25,282.15,1.0
Honningsvåg,20,NO,1589963559,69,70.98,25.97,277.15,4.1
Los Llanos de Aridane,20,ES,1589964110,68,28.66,-17.92,294.15,5.7
Lokosovo,100,RU,1589964112,46,61.13,74.82,293.65,6.53
Itea,4,GR,1589964113,56,38.43,22.42,299.26,0.89
Carballo,75,ES,1589964116,82,43.21,-8.69,289.26,0.5
Conakry,70,GN,1589964118,76,9.54,-13.68,300.47,3.38
Lavrentiya,0,RU,1589964121,95,65.58,-171.0,269.79,3.23
Troitsko-Pechorsk,100,RU,1589964127,91,62.71,56.2,282.36,1.58
Searcy,1,US,1589964131,87,35.25,-91.74,288.15,3.1
Ribeira Grande,20,PT,1589964135,77,38.52,-28.7,288.15,1.5
Gravdal,75,NO,1589964137,70,68.12,13.5,280.15,5.1
Torbay,75,CA,1589963675,100,47.67,-52.73,273.71,4.6
Jakar,100,BT,1589964142,75,27.55,90.75,285.62,0.82
Kudahuvadhoo,3,MV,1589964143,78,2.67,72.89,302.21,6.32
Farrukhābād,0,IN,1589964144,6,27.4,79.57,315.9,4.06
Saint George,1,US,1589963991,37,37.1,-113.58,285.93,1.5
Tigil',82,RU,1589964151,77,57.8,158.67,276.55,3.53
Wabana,75,CA,1589964152,97,47.63,-52.95,274.15,2.6
Saint Paul Harbor,90,US,1589964153,75,57.79,-152.41,281.15,2.1
Bethel,1,US,1589964057,87,41.37,-73.41,280.93,2.65
Peniche,0,PT,1589964157,78,39.36,-9.38,293.15,4.47
Jilib,92,SO,1589964160,84,0.49,42.79,299.91,3.76
Cabo San Lucas,16,MX,1589964163,74,22.89,-109.91,292.59,0.45
Baie-Comeau,1,CA,1589964164,60,49.22,-68.15,278.15,3.1
Belyy Yar,24,RU,1589964165,30,53.6,91.39,300.15,5.0
Hasaki,75,JP,1589964166,82,35.73,140.83,286.15,8.2
Shelburne,1,CA,1589964018,100,44.08,-80.2,282.59,3.13
San Felipe,100,VE,1589964172,87,10.34,-68.74,295.91,1.01
La Ronge,38,CA,1589964173,81,55.1,-105.28,277.77,3.35
Port Blair,88,IN,1589964175,77,11.67,92.75,303.21,8.31
Ulcinj,75,ME,1589964176,61,41.93,19.22,298.15,5.1
Yagoua,77,CM,1589964034,38,10.34,15.23,308.59,4.69
Shihezi,100,CN,1589964179,48,44.3,86.03,295.58,6.35
Rādhanpur,0,IN,1589964180,10,23.83,71.6,316.3,5.96
Hambantota,77,LK,1589964181,67,6.12,81.12,304.17,10.78
Kulhudhuffushi,100,MV,1589964183,78,6.62,73.07,302.68,9.3
College,20,US,1589964185,34,64.86,-147.8,284.15,3.6
Cayenne,23,GF,1589964187,100,4.93,-52.33,297.15,2.7
Behbahān,94,IR,1589964188,12,30.6,50.24,314.15,3.1
Teya,0,RU,1589964189,33,60.38,92.63,297.77,4.28
Quang Ngai,100,VN,1589964142,59,15.12,108.8,306.23,3.71
Leningradskiy,90,RU,1589964195,96,69.38,178.42,270.59,1.85
Nha Trang,20,VN,1589964198,63,12.25,109.18,309.15,7.7
Haines Junction,100,CA,1589964199,73,60.75,-137.51,277.64,1.81
Mnogovershinnyy,100,RU,1589964201,58,53.94,139.92,280.56,2.09
Fairbanks,1,US,1589964202,27,64.84,-147.72,284.15,2.4
Esil,48,KZ,1589964205,53,51.96,66.4,290.49,10.55
Ilulissat,0,GL,1589964206,100,69.22,-51.1,271.15,1.0
Tiznit Province,0,MA,1589964208,29,29.58,-9.5,298.45,0.49
Ugoofaaru,100,MV,1589964210,77,5.67,73.0,302.8,8.75
Evanston,90,US,1589963944,82,42.04,-87.69,286.48,3.1
