City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Punta Arenas,94,CL,1589963948,92,-53.15,-70.92,272.15,1.5
Saint-Pierre,20,RE,1589963950,61,-21.34,55.48,298.15,10.3
Mount Isa,98,AU,1589963952,41,-20.73,139.5,299.15,6.7
Ushuaia,55,AR,1589963668,74,-54.8,-68.3,274.15,1.5
Hobart,75,AU,1589963954,62,-42.88,147.33,285.37,4.1
Cape Town,95,ZA,1589963396,59,-33.93,18.42,295.37,1.5
Hithadhoo,61,MV,1589963971,75,-0.6,73.08,302.56,5.52
Tuatapere,13,NZ,1589963977,82,-46.13,167.68,279.54,2.88
Necochea,100,AR,1589963978,87,-38.55,-58.74,285.93,2.24
Rikitea,92,PF,1589963983,83,-23.12,-134.97,298.28,7.1
Huambo,65,AO,1589963984,67,-12.78,15.74,289.15,1.5
Avarua,75,CK,1589963986,69,-21.21,-159.78,297.15,3.6
Waipawa,0,NZ,1589963987,84,-41.41,175.52,282.04,2.51
Kaitangata,59,NZ,1589963991,78,-46.28,169.85,279.82,1.79
Hermanus,36,ZA,1589963741,69,-34.42,19.23,292.59,2.68
Mossamedes,75,AO,1589963997,94,-15.2,12.15,297.15,1.1
New Norfolk,100,AU,1589963669,69,-42.78,147.06,285.37,0.45
Saldanha,0,ZA,1589963999,63,-33.01,17.94,289.15,1.0
Mataura,97,NZ,1589964002,81,-46.19,168.86,277.71,1.27
Carnarvon,0,AU,1589964006,42,-24.87,113.63,300.15,6.2
Nova Venécia,37,BR,1589963769,94,-18.71,-40.4,291.86,1.65
Arraial do Cabo,7,BR,1589964011,73,-22.97,-42.03,295.45,5.46
Lüderitz,0,NA,1589964012,16,-26.65,15.16,305.15,10.3
Faanui,36,PF,1589964019,75,-16.48,-151.75,300.46,4.99
Richards Bay,0,ZA,1589963601,57,-28.78,32.04,298.17,3.26
Chicama,44,PE,1589964023,83,-7.84,-79.15,292.64,1.92
Rawson,100,AR,1589964027,54,-43.3,-65.1,282.55,3.09
Atuona,3,PF,1589963672,75,-9.8,-139.03,300.45,4.8
Molteno,0,ZA,1589964039,28,-31.4,26.36,290.65,2.97
Bredasdorp,20,ZA,1589964041,76,-34.53,20.04,287.15,5.1
Samarai,4,PG,1589964043,85,-10.62,150.67,300.47,7.21
Puerto Ayora,68,EC,1589964046,93,-0.74,-90.35,297.04,0.89
Port Alfred,0,ZA,1589963676,70,-33.59,26.89,293.15,5.05
Buala,19,SB,1589964052,82,-8.14,159.59,300.66,2.83
Tairua,5,NZ,1589964053,76,-37.02,175.85,283.71,0.45
Tautira,20,PF,1589964056,78,-17.73,-149.15,299.15,1.5
Mar del Plata,100,AR,1589963952,93,-38.0,-57.56,288.15,1.11
Alta Floresta,100,BR,1589964075,98,-9.88,-56.09,294.09,0.83
Cidreira,0,BR,1589964079,82,-30.18,-50.21,289.78,3.75
Venado Tuerto,100,AR,1589964008,89,-33.75,-61.97,287.59,0.89
Byron Bay,90,AU,1589964082,93,-28.65,153.62,291.15,2.58
Río Gallegos,96,AR,1589964083,92,-51.62,-69.22,272.15,2.6
San Rafael,100,AR,1589964084,71,-34.62,-68.33,281.27,2.42
Vaini,75,TO,1589964086,83,-21.2,-175.2,296.15,3.6
Yulara,100,AU,1589963592,36,-25.24,130.99,290.15,3.6
Ahipara,2,NZ,1589964093,77,-35.17,173.17,283.69,3.15
Victor Harbor,100,AU,1589964094,93,-35.57,138.62,283.71,2.68
Busselton,20,AU,1589963590,38,-33.65,115.33,290.37,4.92
Clarence Town,89,AU,1589964099,77,-32.58,151.78,292.15,2.6
Amahai,77,ID,1589964101,77,-3.33,128.92,301.36,1.18
Lagunas,9,PE,1589964102,98,-5.23,-75.68,295.33,0.42
Lebu,0,CL,1589964107,85,-37.62,-73.65,282.9,1.49
Chui,0,UY,1589963596,87,-33.7,-53.46,288.28,2.98
Bengkulu,100,ID,1589963956,68,-3.8,102.27,299.5,5.66
Chancay,90,PE,1589964117,88,-11.57,-77.27,290.15,3.1
Port Elizabeth,0,ZA,1589964122,77,-33.92,25.57,289.15,4.1
Mozarlândia,91,BR,1589964123,87,-14.74,-50.57,294.45,2.15
Kawambwa,0,ZM,1589964124,53,-9.79,29.08,297.06,2.58
Mutoko,0,ZW,1589964130,28,-17.4,32.23,293.99,3.04
East London,0,ZA,1589963609,60,-33.02,27.91,293.15,2.6
Bluff,99,NZ,1589963655,79,-46.6,168.33,281.45,4.51
Te Anau,100,NZ,1589964134,81,-45.42,167.72,278.61,1.4
Kalemie,0,CD,1589964136,61,-5.95,29.19,298.93,5.03
Pisco,90,PE,1589964138,82,-13.7,-76.22,291.15,1.5
Auki,5,SB,1589964141,84,-8.77,160.7,299.88,2.83
Labuhan,10,ID,1589964145,81,-6.88,112.21,302.33,4.89
Geraldton,0,AU,1589964147,35,-28.77,114.6,297.15,7.7
Mareeba,75,AU,1589964148,94,-17.0,145.43,297.15,2.6
Bangkalan,8,ID,1589964154,78,-7.05,112.74,302.65,3.7
Puerto Quijarro,0,BO,1589964156,90,-17.78,-57.77,294.77,1.12
Tacuarembó,0,UY,1589964158,88,-31.73,-55.98,288.0,3.2
Rio Grande,0,BR,1589964159,97,-32.03,-52.1,285.93,3.91
Kavieng,0,PG,1589964161,80,-2.57,150.8,301.68,6.66
Biak,24,ID,1589964167,80,-0.91,122.88,300.81,1.35
São João da Barra,12,BR,1589964169,76,-21.64,-41.05,294.1,1.58
Presidencia Roque Sáenz Peña,95,AR,1589964171,53,-26.79,-60.44,296.21,4.81
Lulindi,40,TZ,1589964182,58,-10.82,39.13,299.77,3.28
Salinópolis,95,BR,1589964190,88,-0.61,-47.36,299.09,3.65
Antalaha,88,MG,1589964191,82,-14.9,50.28,296.83,5.98
Souillac,40,MU,1589964192,61,-20.52,57.52,298.15,7.2
Luganville,35,VU,1589964193,73,-15.53,167.17,296.34,4.26
Tsiroanomandidy,0,MG,1589964167,42,-18.77,46.03,297.28,2.47
Saint-Joseph,27,RE,1589964203,54,-21.37,55.62,299.15,11.3
Ampanihy,0,MG,1589964204,41,-24.7,44.75,298.41,5.59
Itarema,19,BR,1589964212,93,-2.92,-39.92,297.33,4.0
Kruisfontein,0,ZA,1589964218,26,-34.0,24.73,297.6,3.22
Broken Hill,99,AU,1589964229,37,-31.95,141.43,286.15,2.6
Sawtell,40,AU,1589964232,77,-30.38,153.1,292.15,3.6
Namatanai,6,PG,1589964234,83,-3.67,152.43,300.42,4.62
Castro,77,BR,1589964243,96,-24.79,-50.01,286.35,2.9
Bambous Virieux,40,MU,1589964245,61,-20.34,57.76,298.15,7.2
Moranbah,100,AU,1589964248,83,-22.0,148.05,292.26,4.17
Saint-Philippe,49,RE,1589964254,54,-21.36,55.77,299.15,11.3
San Juan,11,AR,1589964257,59,-31.54,-68.54,284.29,6.49
Colac,100,AU,1589964055,96,-38.33,143.58,284.26,0.45
Esperance,40,AU,1589964290,67,-33.87,121.9,288.15,4.6
Monze,0,ZM,1589964292,40,-16.28,27.48,294.54,4.11
Ifanadiana,14,MG,1589964293,56,-21.3,47.63,295.24,2.09
Mahébourg,40,MU,1589964303,61,-20.41,57.7,298.15,7.2
Cuenca,97,EC,1589964310,93,-2.88,-78.98,286.15,1.5
Kirakira,14,SB,1589964318,83,-10.45,161.92,299.83,5.84
Kaniama,0,CD,1589964319,47,-7.57,24.18,300.97,2.25
Mayumba,97,GA,1589964321,86,-3.43,10.66,299.07,2.12
Airai,82,TL,1589964330,100,-8.93,125.41,289.75,2.17
Beira,20,MZ,1589964331,73,-19.84,34.84,297.15,4.1
Santiago del Estero,0,AR,1589964333,83,-27.8,-64.26,290.83,1.49
Coffs Harbour,40,AU,1589964340,77,-30.3,153.13,292.15,3.6
Kununurra,40,AU,1589964342,47,-15.77,128.73,298.15,5.7
Coyhaique,99,CL,1589964345,81,-45.58,-72.07,273.15,3.6
Galesong,40,ID,1589964351,100,-5.32,119.37,299.15,3.1
Parkes,57,AU,1589964353,84,-33.13,148.18,289.26,1.34
Bukama,5,CD,1589964361,37,-9.2,25.85,304.65,0.61
Azángaro,64,PE,1589964363,84,-14.92,-70.22,275.04,1.1
Henties Bay,0,NA,1589964365,21,-22.12,14.28,302.52,11.01
Junín,100,AR,1589964369,89,-34.58,-60.94,288.15,1.34
Dunedin,97,NZ,1589964311,88,-45.87,170.5,282.59,2.71
Mgandu,91,TZ,1589964371,61,-5.95,34.13,296.13,4.51
Katherine,97,AU,1589964375,35,-14.47,132.27,305.15,4.1
Isangel,3,VU,1589964381,76,-19.55,169.27,294.23,4.88
Codrington,100,AU,1589964169,87,-38.27,141.97,282.52,8.19
Port Shepstone,0,ZA,1589964386,57,-30.74,30.45,294.82,1.16
Mount Gambier,90,AU,1589964387,93,-37.83,140.77,282.15,2.6
Hualmay,75,PE,1589964392,84,-11.1,-77.61,290.48,3.17
Oranjemund,20,NA,1589964406,16,-28.55,16.43,302.4,9.56
Farafangana,28,MG,1589964411,68,-22.82,47.83,296.22,4.9
Oberá,18,AR,1589964413,88,-27.49,-55.12,290.15,1.99
Ancud,75,CL,1589964416,100,-41.87,-73.82,278.15,1.0
Emerald,90,AU,1589964426,100,-23.53,148.17,291.15,4.6
Neiafu,99,TO,1589964427,82,-18.65,-173.98,299.6,7.36
Lorengau,5,PG,1589964428,84,-2.02,147.27,301.08,4.66
Jutaí,94,BR,1589964432,97,-5.18,-68.9,295.34,0.22
Rurrenabaque,29,BO,1589964442,95,-14.44,-67.53,293.88,0.55
Kendari,81,ID,1589964458,83,-3.94,122.5,300.9,1.7
Presidente Epitácio,4,BR,1589964461,85,-21.76,-52.12,290.69,2.57
San Miguel de Tucumán,0,AR,1589964315,87,-26.82,-65.22,287.15,3.1
Padang,99,ID,1589964464,63,-0.95,100.35,303.66,2.29
Saquena,43,PE,1589964466,99,-4.67,-73.52,295.24,0.71
Bahía Blanca,100,AR,1589964469,75,-38.72,-62.27,285.44,3.4
Conde,46,BR,1589964261,94,-7.26,-34.91,297.04,2.45
